	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V51	V52	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V62	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V53	V54	V55	V56	V57	V58	V59	V60	V61	V63	V64	V65	V66	V67	V68	V69
1	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
2	0.074522	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
3	0.048286	0.090277	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
4	0.108217	0.136847	0.091323	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
5	0.037915	0.037366	0.056704	0.067804	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
6	0.052398	0.062907	0.058298	0.059224	0.03563	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
7	0.039407	0.112504	0.054782	0.064191	0.076102	0.087121	10	0.0746309555555556	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
8	0.047671	0.096008	0.042443	0.143428	0.051056	0.12184	0.032003	10	0.0746309555555556	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
9	0.103141	0.108708	0.083662	0.100889	0.029221	0.044733	0.062149	0.062793	10	0.0746309555555556	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
10	0.085052	0.108343	0.093225	0.146726	0.111932	0.052705	0.025422	0.052243	0.101175	10	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.01930608	-0.0006669	-0.0006669	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.06342706	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	-0.01043264	0.0159844	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.00704043	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	0.0125460133333333	-0.0051889
11	0.00338	-0.03041	-0.038113	-0.044492	-0.041512	-0.03657	-0.02879	-0.011875	-0.013835	-0.029891	10	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
12	-0.055815	-0.062577	0.01553	-0.024167	-0.050889	-0.037233	0.003668	-0.036565	-0.020196	-0.056025	0.107755	10	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
13	0.025887	-0.016099	-0.005068	-0.036079	-0.010352	-0.026764	-0.002439	-0.005173	-0.001608	-0.001608	0.175317	0.115579	10	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
14	0.007697	0.004103	0.01071	-0.037048	-0.029731	-0.010388	-0.021839	-0.007218	-0.008492	-0.040598	0.082022	0.106277	0.120611	10	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
15	-0.036574	-0.062113	0.019132	-0.040234	0.005513	-0.046131	-0.044872	-0.005884	-0.041345	-0.02542	0.112362	0.147173	0.092858	0.050687	10	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
16	-0.001539	-0.063833	-0.004207	-0.015745	0.009295	-0.016574	-0.026122	-0.008511	-0.008267	-0.002541	0.139204	0.149021	0.092774	0.07602	0.1174	10	0.108350066666667	0.108350066666667	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
17	-0.026322	-0.016197	-0.011915	-0.004027	-0.036855	-0.01488	0.030451	-0.016404	-0.053126	-0.038808	0.128107	0.118573	0.072237	0.11313	0.102059	0.08014	10	0.108350066666667	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
18	-0.021635	-0.052397	0.038359	-0.035052	-0.030019	-0.015003	-0.002653	0.042536	-0.015172	-0.017589	0.145943	0.119609	0.130257	0.101322	0.087717	0.124075	0.12848	10	0.108350066666667	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
19	-0.000518	-0.036587	-0.003238	-0.008581	-0.037547	0.006126	-0.039327	-0.011335	-0.032071	-0.017786	0.115365	0.094715	0.111822	0.065897	0.065633	0.085952	0.126868	0.088	10	0.108350066666667	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
20	-0.039197	-0.065821	-0.040916	-0.016447	-0.041604	-0.021491	-0.015313	0.011151	0.00424	-0.003182	0.107612	0.120787	0.101341	0.122021	0.071139	0.182506	0.107676	0.101107	0.070603	10	0.0006826	0.0006826	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	0.06315794	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.05080263	-0.0159461	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.04367847	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	-0.02012102	0.003471
